,ID,P90
705,82001,24.0
706,82137,20.980000000000018
707,66129,32.3
708,3091,33.0
709,40686,32.2
710,40406,34.349999999999994
711,40016,35.40000000000007
712,9186,21.11999999999998
713,40284,34.4
714,40017,36.3
715,15080,35.66000000000001
716,21114,19.1
717,69002,27.0
718,69139,25.28000000000002
719,73004,21.1
720,42002,29.4
721,23846,17.0
722,23703,18.0
723,23890,16.8
724,23704,20.6
725,68006,24.4
726,51002,25.160000000000014
727,70059,22.4
728,7002,24.54000000000001
729,74205,17.35
730,33188,45.2
731,41551,28.0
732,10006,14.7
733,91262,16.0
734,41005,27.980000000000018
735,68228,31.0
736,60000,39.22000000000003
737,8006,16.8
738,53035,27.540000000000056
739,53086,26.97000000000001
740,53003,31.0
741,40830,33.0
742,40985,32.0
743,59000,30.5
744,59122,26.0
745,59059,30.38000000000004
746,79004,16.8
747,48007,26.7
748,8309,16.4
749,31081,71.9
750,31140,98.0
751,31141,180.60000000000036
752,94004,14.5
753,94211,13.8
754,40601,29.85999999999999
755,23916,15.6
756,40561,31.6
757,59134,36.35999999999999
758,59001,40.5
759,61098,23.4
760,59150,39.0
761,87012,14.0
762,37105,34.0
763,33229,38.0
764,61299,32.0
765,71038,22.10000000000001
766,94182,15.8
767,69037,26.61000000000004
768,66188,30.839999999999964
769,17011,16.95999999999999
770,17119,17.54000000000001
771,17012,20.0
772,19004,17.2
773,39201,37.64000000000006
774,9003,21.6
775,14129,60.0
776,69133,24.640000000000054
777,69003,27.2
778,32002,55.4
779,84036,24.0
780,9896,16.679999999999996
781,56245,26.300000000000068
782,56138,24.810000000000013
783,56139,31.8
784,56137,27.9
785,10506,14.7
786,82002,18.8
787,82170,17.320000000000004
788,82003,20.3
789,83003,20.0
790,83064,19.0
791,40019,30.0
792,79083,13.4
793,41542,24.4
794,10007,13.6
795,68229,33.8
796,55296,25.0
797,55111,30.7
798,55308,26.0
799,55112,26.7
800,55004,25.0
801,55096,24.1
802,55109,24.6
803,55124,28.7
804,55110,26.4
805,55113,27.9
806,55095,23.9
807,55115,27.9
808,44130,27.49000000000001
809,10513,14.6
810,81123,17.6
811,88005,19.6
812,81003,17.3
813,43108,27.6
814,84106,22.0
815,84000,20.3
816,70316,32.960000000000036
817,75005,18.600000000000012
818,41360,33.0
819,41506,26.079999999999995
820,85010,15.7
821,80001,16.029999999999973
822,88117,20.0
823,14720,35.120000000000026
824,40937,34.0
825,40608,34.0
826,86006,17.6
827,58078,34.0
828,58202,30.0
829,9161,22.2
830,90188,17.8
831,44084,30.0
832,63013,32.8
833,17013,23.159999999999997
834,36159,40.419999999999995
835,10158,15.65999999999999
836,7003,23.0
837,68110,30.86000000000004
838,8008,16.0
839,69005,29.66999999999998
840,67052,29.2
841,24025,14.2
842,24002,12.4
843,71022,18.6
844,71043,18.0
845,94094,14.8
846,94188,17.95999999999999
847,74255,17.0
848,74009,18.5
849,68186,22.4
850,68091,22.9
851,14002,45.91000000000002
852,14116,56.540000000000006
853,10245,16.2
854,10269,15.0
855,77005,14.70999999999999
856,76110,13.620000000000005
857,68003,39.4
858,14215,47.2
859,89006,13.7
860,41409,30.2
861,86299,17.4
862,14624,44.75
863,35087,34.85999999999999
864,84093,19.460000000000036
865,82117,23.0
866,82005,20.1
867,73033,20.0
868,69006,26.2
869,69035,29.0
870,77004,14.7
871,77082,14.2
