,Unnamed: 0,ID,Location,Latitude,Longitude,Start_Month,Start_Year,End_Month,End_Year,Years,Percent,Code,State
10489,10489,6064,MOOGOOREE O.S.,-24.2167,115.3833,Jan,1930,Jul,1947,16.8,95,N,WA
10490,10490,2020,MOOLA BULLA,-18.1894,127.5011,Dec,1903,May,2024,106.3,88,N,WA
10491,10491,2074,MOOLA BULLA AIRSTRIP,-18.1958,127.4948,Sep,2011,Jun,2024,12.8,0,N,WA
10492,10492,7187,MOOLA EAST,-28.2,118.0333,Mar,1974,Jan,1975,0.6,63,N,WA
10493,10493,12206,MOOLARA,-32.2,122.7,Aug,1966,Jul,1973,6.7,95,N,WA
10494,10494,39218,MOOLBOOLAMAN,-25.0092,151.81,Jan,1917,Feb,2024,98.4,92,N,QLD
10495,10495,20049,MOOLEULOOLOO,-31.6382,140.513,Feb,1932,Feb,2024,80.3,87,N,SA
10496,10496,9147,MOOLIABEENEE,-31.3292,116.0811,Jan,1971,May,2023,39.5,75,N,WA
10497,10497,9028,MOOLIABEENEE SIDING,-31.3,116.0167,Jan,1912,Dec,1970,57.7,98,N,WA
10498,10498,6106,MOOLOO DOWNS,-25.037,115.994,Jan,1925,Jul,2018,59.7,64,N,WA
10499,10499,40136,MOOLOOLAH POST OFFICE,-26.7661,152.9622,Mar,1888,Nov,1999,73.3,66,N,QLD
10500,10500,14864,MOOLOOLOO,-16.334,131.5148,Jan,1989,Apr,2024,33.6,95,N,NT
10501,10501,75045,MOOLPA,-35.0,143.7,May,1866,Dec,1948,82.7,0,N,NSW
10502,10502,17096,MOOMBA,-28.1125,140.2102,Nov,1972,Mar,2005,32.3,0,N,SA
10503,10503,17074,MOOMBA (CALLABONNA),-29.7567,140.245,Jan,1902,Jan,1909,6.9,98,N,SA
10504,10504,17026,MOOMBA (DARALINGIE),-28.3725,139.9727,Jan,2002,Jun,2017,12.1,78,N,SA
10505,10505,17140,MOOMBA (SELLICKS CAMP),-27.9295,139.4748,Jan,2008,Apr,2009,1.3,94,N,SA
10506,10506,17022,MOOMBA (TANTANNA),-28.1696,139.6105,Jan,2002,Jul,2015,11.9,88,N,SA
10507,10507,17112,MOOMBA (TIRRAWARRA),-27.6908,140.1066,Jan,1984,Jan,2017,27.8,84,N,SA
10508,10508,17123,MOOMBA AIRPORT,-28.0997,140.1956,Jul,1995,Jun,2024,29.0,0,Y,SA
10509,10509,71025,MOONABAH,-36.5,148.6,Jan,1903,Feb,1917,11.6,82,N,NSW
10510,10510,51092,MOONAGEE,-31.3,147.3,Jan,1885,Dec,1924,37.3,93,N,NSW
10511,10511,94102,MOONAH,-42.85,147.3,Jan,1921,Aug,1930,9.7,0,N,TAS
10512,10512,35148,MOONAH,-25.7889,148.9219,Jan,1971,Feb,2016,44.1,98,N,QLD
10513,10513,94096,MOONAH EAST,-42.85,147.3,Aug,1962,Aug,1972,10.1,0,N,TAS
10514,10514,79031,MOONAMBEL,-36.9865,143.2727,Aug,1901,May,2024,121.9,99,N,VIC
10515,10515,61399,MOONAN BROOK (PAMPAS),-31.9333,151.2597,Apr,2003,Jan,2020,15.7,93,N,NSW
10516,10516,61097,MOONAN FLAT (HIGH ST),-31.9201,151.2355,Feb,1897,Jan,2024,113.3,89,N,NSW
10517,10517,16029,MOONAREE,-31.9675,135.8742,Nov,1877,Oct,1994,108.3,93,N,SA
10518,10518,16086,MOONAREE (KANGAROO WELL),-31.7646,135.6494,Mar,1986,Jan,2022,32.3,90,N,SA
10519,10519,71035,MOONBAH (RIVERVIEW),-36.4833,148.55,May,1969,Jan,1970,0.8,99,N,NSW
10520,10520,55143,MOONBI (BELLEVUE),-31.0193,151.0659,Oct,1958,Jul,2015,56.7,0,N,NSW
10521,10521,55135,MOONBI (THE RANCH),-30.95,151.1,Sep,1958,Jun,1968,8.8,89,N,NSW
10522,10522,9248,MOONDAH BROOK,-31.332,115.9513,Nov,2000,Jun,2024,23.7,0,N,WA
10523,10523,76034,MOONDAH THE PINES,-35.0,143.0,Sep,1925,Feb,1963,37.5,0,N,VIC
10524,10524,85140,MOONDARRA (GLEN ALLEN),-37.95,146.2833,Dec,1899,Dec,1926,27.1,0,N,VIC
10525,10525,85199,MOONDARRA RESERVOIR,-38.0992,146.3792,Jan,1974,Feb,1997,18.4,79,N,VIC
10526,10526,11025,MOONERA,-31.7219,126.5889,Jan,1964,Aug,2023,51.0,85,N,WA
10527,10527,42040,MOONIE JUNCTION,-27.8167,150.6833,Jan,1890,May,1901,9.8,85,N,QLD
10528,10528,42088,MOONIE POST OFFICE,-27.7192,150.3625,Nov,1968,Aug,1985,16.8,0,N,QLD
10529,10529,39067,MOONMERA,-23.5798,150.4044,Jan,1901,Jun,2024,123.1,0,N,QLD
10530,10530,36095,MOONOOMOO STATION,-21.8497,146.0014,Apr,1972,Dec,2003,31.8,0,N,QLD
10531,10531,22011,MOONTA,-34.0672,137.5925,Jan,1872,Jun,2024,152.3,0,N,SA
10532,10532,55133,MOOR CREEK (GLEN BOVIE),-30.45,150.9,Aug,1958,Dec,1959,1.4,0,N,NSW
10533,10533,55142,MOOR CREEK (MOONGABAH),-31.0,150.9833,Sep,1958,Sep,1973,15.1,0,N,NSW
10534,10534,55141,MOOR CREEK (ORROROO),-31.0,150.9167,Aug,1958,Feb,1976,16.8,95,N,NSW
10535,10535,8091,MOORA,-30.6417,116.0072,Jul,1897,Feb,2004,104.7,98,N,WA
10536,10536,8038,MOORA WEST,-30.6392,115.9883,Nov,2000,Nov,2014,13.7,97,N,WA
10537,10537,86077,MOORABBIN AIRPORT,-37.98,145.0962,Jul,1950,Jun,2024,71.8,97,Y,VIC
10538,10538,38050,MOORABERRIE STATION,-25.2336,140.9847,Jan,1974,Dec,2010,29.3,79,N,QLD
10539,10539,35154,MOORABINDA,-25.8867,149.3233,Jan,1937,Jan,2015,73.7,94,N,QLD
10540,10540,87125,MOORABOOL AREA (COONIL),-38.0,144.265,Jan,1969,Jun,1991,22.4,0,N,VIC
10541,10541,87045,MOORABOOL RESERVOIR,-37.5151,144.0827,Aug,1912,Mar,2024,111.7,0,N,VIC
10542,10542,87068,MOORABOOL RIVER AT LAL LAL,-37.645,144.0411,Dec,2000,Jun,2024,22.5,95,N,VIC
10543,10543,87016,MOORABOOL RIVER AT MORRISONS,-37.7654,144.1048,Jan,2001,Jun,2024,15.8,67,N,VIC
